recipe_id,recipe_name,category,category_id,preparation_time_min,calories,protein_g,carbohydrates_g,fat_g,estimated_cost_usd,dietary_tags
14,Lean Ground Beef Stir-Fry with Brown Rice & Peppers,Dinner,2,25,613.1,52.6,33.1,31.8,4.62,Gluten-Free;Dairy-Free;High-Protein;Halal
15,Creamy Garlic Parmesan Chicken Fettuccine,Dinner,2,30,924.0,77.1,35.8,51.3,4.39,High-Protein;Halal
16,Hearty Lentil & Vegetable Stew,Dinner,2,35,457.8,16.3,65.7,16.1,2.17,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
17,Garlic Butter Shrimp with Zucchini Noodles & Tomatoes,Dinner,2,20,516.5,61.5,15.1,24.8,7.18,Keto;Gluten-Free;High-Protein;Low-Carb;Halal
18,Savory Tofu & Mushroom Teriyaki Bowl,Dinner,2,25,454.9,25.5,49.0,20.6,4.03,Vegan;Vegetarian;Dairy-Free;Halal
19,Apple Slices with Natural Peanut Butter,Snack,3,3,299.4,9.3,31.8,17.9,1.03,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
20,Banana Almond Protein Smoothie,Snack,3,5,440.4,19.4,51.4,20.3,2.01,Vegetarian;Gluten-Free;Halal
21,Cheddar Cheese & Boiled Egg Power Snack,Snack,3,8,241.8,16.7,3.1,18.1,1.08,Vegetarian;Keto;Gluten-Free;High-Protein;Halal
22,Strawberries & Dark Chocolate Walnut Cup,Snack,3,4,258.6,5.3,20.0,19.9,2.22,Vegan;Vegetarian;Gluten-Free;Halal
23,Zesty Creamy Garlic Parmesan Chicken Fettuccine Style 23,Dinner,2,32,933.8,87.1,32.7,48.9,4.8,High-Protein;Halal
24,Herb-Crusted Banana Almond Protein Smoothie Style 24,Snack,3,0,439.3,18.3,52.2,20.3,1.94,Vegetarian;Gluten-Free;Halal
25,Hearty Creamy Tomato & Mozzarella Penne Style 25,Lunch,1,15,480.5,22.5,45.4,24.2,2.21,Vegetarian;Halal
26,Fresh Pan-Seared Salmon with Garlic Butter Broccoli & Sweet Potato Style 26,Dinner,2,25,788.7,60.8,51.1,36.3,8.71,Gluten-Free;High-Protein;Halal
27,Crispy Avocado & Egg Whole Wheat Toast Style 27,Breakfast,0,17,608.2,26.4,44.7,38.7,2.51,Vegetarian;Halal
28,Garden-Fresh Garlic Butter Shrimp with Zucchini Noodles & Tomatoes Style 28,Dinner,2,15,441.2,51.8,15.1,20.6,6.17,Keto;Gluten-Free;High-Protein;Low-Carb;Halal
29,Hearty Greek Yogurt Berry Nut Bowl Style 29,Breakfast,0,11,499.4,31.1,39.3,27.3,4.38,Vegetarian;Gluten-Free;High-Protein;Halal
30,Rustic Cheddar Cheese & Boiled Egg Power Snack Style 30,Snack,3,11,282.0,19.2,3.2,21.4,1.2,Vegetarian;Keto;Gluten-Free;High-Protein;Halal
31,Zesty Pan-Seared Salmon with Garlic Butter Broccoli & Sweet Potato Style 31,Dinner,2,32,912.3,56.9,58.5,48.9,8.9,Gluten-Free;High-Protein;Halal
32,Hearty Lean Ground Beef Stir-Fry with Brown Rice & Peppers Style 32,Dinner,2,26,619.0,53.7,31.8,32.6,4.62,Gluten-Free;Dairy-Free;High-Protein;Halal
33,Rustic High-Protein Tofu Breakfast Scramble Style 33,Breakfast,0,15,335.5,18.8,14.5,24.9,3.12,Vegan;Vegetarian;Gluten-Free;Dairy-Free;High-Protein;Halal
34,Savory Creamy Tomato & Mozzarella Penne Style 34,Lunch,1,28,461.8,20.8,47.0,22.3,2.33,Vegetarian;Halal
35,Rustic Lean Ground Beef Stir-Fry with Brown Rice & Peppers Style 35,Dinner,2,28,646.0,52.1,43.6,30.6,4.66,Gluten-Free;Dairy-Free;High-Protein;Halal
36,Fresh Banana Almond Protein Smoothie Style 36,Snack,3,4,407.8,17.6,50.5,17.6,1.87,Vegetarian;Gluten-Free;Halal
37,Fresh Garlic Butter Shrimp with Zucchini Noodles & Tomatoes Style 37,Dinner,2,23,470.9,57.9,10.3,23.4,6.99,Keto;Gluten-Free;High-Protein;Low-Carb;Halal
38,Hearty Lean Ground Beef Stir-Fry with Brown Rice & Peppers Style 38,Dinner,2,35,685.0,58.6,37.1,35.4,5.13,Gluten-Free;Dairy-Free;High-Protein;Halal
39,Spicy Creamy Tomato & Mozzarella Penne Style 39,Lunch,1,16,521.5,25.3,48.1,26.4,2.45,Vegetarian;Halal
40,Savory Garlic Butter Shrimp with Zucchini Noodles & Tomatoes Style 40,Dinner,2,27,520.5,60.8,16.9,24.9,7.16,Keto;Gluten-Free;High-Protein;Low-Carb;Halal
41,Smoky Garlic Butter Shrimp with Zucchini Noodles & Tomatoes Style 41,Dinner,2,28,544.3,66.5,13.7,26.2,7.34,Keto;Gluten-Free;High-Protein;Low-Carb;Halal
42,Fresh Black Bean Burrito Bowl with Brown Rice Style 42,Lunch,1,20,468.6,19.1,72.8,12.2,2.71,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
43,Garden-Fresh Apple Slices with Natural Peanut Butter Style 43,Snack,3,-2,299.4,9.3,31.8,17.9,1.03,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
44,Spicy Berry Chia Yogurt Parfait Style 44,Breakfast,0,5,462.4,25.2,35.2,27.4,3.69,Vegetarian;Gluten-Free;Halal
45,Savory Peanut Butter Banana Oatmeal Style 45,Breakfast,0,10,614.8,23.6,77.7,26.7,1.33,Vegan;Vegetarian;Dairy-Free;Halal
46,Roasted Pan-Seared Salmon with Garlic Butter Broccoli & Sweet Potato Style 46,Dinner,2,30,798.5,46.8,58.2,41.9,7.7,Gluten-Free;High-Protein;Halal
47,Crispy Greek Yogurt Berry Nut Bowl Style 47,Breakfast,0,6,392.2,23.2,37.2,19.4,4.05,Vegetarian;Gluten-Free;High-Protein;Halal
48,Fresh Classic Spinach & Mushroom Omelette Style 48,Breakfast,0,25,486.6,30.8,5.1,38.4,2.59,Vegetarian;Keto;Gluten-Free;High-Protein;Halal
49,Hearty Mediterranean Chickpea & Avocado Salad Style 49,Lunch,1,13,596.1,15.4,52.0,40.5,3.7,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
50,Herb-Crusted Greek Yogurt Berry Nut Bowl Style 50,Breakfast,0,9,444.4,23.7,41.4,23.5,3.87,Vegetarian;Gluten-Free;High-Protein;Halal
51,Savory Creamy Tomato & Mozzarella Penne Style 51,Lunch,1,20,410.2,18.8,36.9,21.9,2.08,Vegetarian;Halal
52,Garden-Fresh Creamy Garlic Parmesan Chicken Fettuccine Style 52,Dinner,2,27,862.9,72.8,41.0,44.2,4.08,High-Protein;Halal
53,Spicy Black Bean Burrito Bowl with Brown Rice Style 53,Lunch,1,18,385.9,13.9,57.8,11.8,2.15,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
54,Garden-Fresh Apple Slices with Natural Peanut Butter Style 54,Snack,3,7,299.4,9.3,31.8,17.9,1.03,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
55,Fresh Lean Ground Beef Stir-Fry with Brown Rice & Peppers Style 55,Dinner,2,35,683.2,60.6,31.8,36.9,5.21,Gluten-Free;Dairy-Free;High-Protein;Halal
56,Smoky Hearty Lentil & Vegetable Stew Style 56,Dinner,2,43,398.7,18.2,66.7,8.4,1.93,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
57,Zesty Lean Ground Beef Stir-Fry with Brown Rice & Peppers Style 57,Dinner,2,29,568.5,48.2,31.7,29.2,4.3,Gluten-Free;Dairy-Free;High-Protein;Halal
58,Roasted Black Bean Burrito Bowl with Brown Rice Style 58,Lunch,1,20,421.4,16.4,64.0,12.0,2.24,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
59,Golden Grilled Chicken & Quinoa Harvest Bowl Style 59,Lunch,1,34,609.8,72.9,32.8,19.9,5.84,Gluten-Free;High-Protein;Halal
60,Garden-Fresh Lean Ground Beef Stir-Fry with Brown Rice & Peppers Style 60,Dinner,2,30,516.7,42.3,33.8,25.0,3.96,Gluten-Free;Dairy-Free;High-Protein;Halal
61,Savory Turkey Avocado BLT Wrap Style 61,Lunch,1,22,903.6,60.4,61.0,50.2,5.49,High-Protein;Halal
62,Fresh Berry Chia Yogurt Parfait Style 62,Breakfast,0,7,1332.9,7.5,32.6,135.4,3.68,Vegetarian;Gluten-Free;Halal
63,Spicy Turkey Avocado BLT Wrap Style 63,Lunch,1,10,787.3,25.8,95.1,37.9,3.21,High-Protein;Halal
64,Roasted Hearty Lentil & Vegetable Stew Style 64,Dinner,2,36,526.4,18.3,82.2,16.2,2.18,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
65,Spicy Greek Yogurt Berry Nut Bowl Style 65,Breakfast,0,2,427.4,25.1,37.8,22.3,4.01,Vegetarian;Gluten-Free;High-Protein;Halal
66,Spicy Creamy Tomato & Mozzarella Penne Style 66,Lunch,1,21,521.5,25.2,48.1,26.4,2.37,Vegetarian;Halal
67,Hearty Creamy Tomato & Mozzarella Penne Style 67,Lunch,1,21,404.8,17.5,35.2,22.5,1.94,Vegetarian;Halal
68,Golden Savory Tofu & Mushroom Teriyaki Bowl Style 68,Dinner,2,34,455.1,26.7,48.0,21.0,4.38,Vegan;Vegetarian;Dairy-Free;Halal
69,Herb-Crusted Greek Yogurt Berry Nut Bowl Style 69,Breakfast,0,14,393.4,21.6,36.6,20.6,3.73,Vegetarian;Gluten-Free;High-Protein;Halal
70,Golden Banana Almond Protein Smoothie Style 70,Snack,3,14,468.4,21.3,53.2,21.8,2.18,Vegetarian;Gluten-Free;Halal
71,Herb-Crusted Apple Slices with Natural Peanut Butter Style 71,Snack,3,1,328.8,10.5,32.8,20.4,1.07,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
72,Rustic Creamy Garlic Parmesan Chicken Fettuccine Style 72,Dinner,2,36,978.8,80.5,38.7,54.5,4.59,High-Protein;Halal
73,Herb-Crusted Pan-Seared Salmon with Garlic Butter Broccoli & Sweet Potato Style 73,Dinner,2,36,884.8,52.4,55.5,49.8,8.42,Gluten-Free;High-Protein;Halal
74,Spicy Hearty Lentil & Vegetable Stew Style 74,Dinner,2,39,487.5,17.8,71.6,16.1,2.02,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
75,Spicy Savory Tofu & Mushroom Teriyaki Bowl Style 75,Dinner,2,33,444.5,25.1,47.8,20.2,4.04,Vegan;Vegetarian;Dairy-Free;Halal
76,Fresh Lean Ground Beef Stir-Fry with Brown Rice & Peppers Style 76,Dinner,2,35,671.9,58.6,32.7,36.0,4.97,Gluten-Free;Dairy-Free;High-Protein;Halal
77,Fresh Peanut Butter Banana Oatmeal Style 77,Breakfast,0,8,667.0,25.8,87.1,27.4,1.35,Vegan;Vegetarian;Dairy-Free;Halal
78,Fresh Strawberries & Dark Chocolate Walnut Cup Style 78,Snack,3,1,263.4,5.4,21.2,19.9,2.44,Vegan;Vegetarian;Gluten-Free;Halal
79,Herb-Crusted Grilled Chicken & Quinoa Harvest Bowl Style 79,Lunch,1,32,614.2,74.4,32.7,19.9,4.92,Gluten-Free;High-Protein;Halal
80,Fresh Banana Almond Protein Smoothie Style 80,Snack,3,13,439.7,20.1,50.8,20.2,2.06,Vegetarian;Gluten-Free;Halal
81,Savory Turkey Avocado BLT Wrap Style 81,Lunch,1,11,853.5,52.3,61.2,48.2,5.06,High-Protein;Halal
82,Garden-Fresh Classic Spinach & Mushroom Omelette Style 82,Breakfast,0,22,448.9,28.6,5.3,35.2,2.55,Vegetarian;Keto;Gluten-Free;High-Protein;Halal
83,Golden Cheddar Cheese & Boiled Egg Power Snack Style 83,Snack,3,7,177.0,10.4,2.7,14.1,0.79,Vegetarian;Keto;Gluten-Free;High-Protein;Halal
84,Roasted Grilled Chicken & Quinoa Harvest Bowl Style 84,Lunch,1,24,642.3,54.0,33.8,34.1,4.7,Gluten-Free;High-Protein;Halal
85,Fiesta Hearty Lentil & Vegetable Stew Style 85,Dinner,2,43,442.0,15.5,62.7,16.0,2.14,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
86,Herb-Crusted Banana Almond Protein Smoothie Style 86,Snack,3,0,451.9,20.7,51.7,20.9,2.12,Vegetarian;Gluten-Free;Halal
87,Spicy Apple Slices with Natural Peanut Butter Style 87,Snack,3,11,270.0,8.0,30.8,15.4,0.99,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
88,Fresh Savory Tofu & Mushroom Teriyaki Bowl Style 88,Dinner,2,28,512.6,28.0,45.8,27.5,4.15,Vegan;Vegetarian;Dairy-Free;Halal
89,Roasted Creamy Garlic Parmesan Chicken Fettuccine Style 89,Dinner,2,34,816.0,66.0,42.3,41.5,3.85,High-Protein;Halal
90,Zesty Banana Almond Protein Smoothie Style 90,Snack,3,10,424.1,17.5,51.0,19.4,1.87,Vegetarian;Gluten-Free;Halal
91,Golden Lean Ground Beef Stir-Fry with Brown Rice & Peppers Style 91,Dinner,2,28,717.8,63.4,33.6,38.7,5.29,Gluten-Free;Dairy-Free;High-Protein;Halal
92,Fiesta Greek Yogurt Berry Nut Bowl Style 92,Breakfast,0,9,480.1,26.6,44.4,25.0,3.9,Vegetarian;Gluten-Free;High-Protein;Halal
93,Savory Hearty Lentil & Vegetable Stew Style 93,Dinner,2,35,438.9,14.6,62.6,16.0,2.08,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
94,Garden-Fresh Apple Slices with Natural Peanut Butter Style 94,Snack,3,6,299.4,9.3,31.8,17.9,1.03,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
95,Spicy Mediterranean Chickpea & Avocado Salad Style 95,Lunch,1,22,601.6,13.2,45.4,44.9,3.53,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
96,Smoky Lean Ground Beef Stir-Fry with Brown Rice & Peppers Style 96,Dinner,2,21,601.8,50.0,37.1,30.1,4.15,Gluten-Free;Dairy-Free;High-Protein;Halal
97,Spicy Berry Chia Yogurt Parfait Style 97,Breakfast,0,12,436.6,23.1,32.9,26.4,3.23,Vegetarian;Gluten-Free;Halal
98,Rustic Hearty Lentil & Vegetable Stew Style 98,Dinner,2,31,467.8,14.2,59.5,21.0,2.17,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
99,Roasted Peanut Butter Banana Oatmeal Style 99,Breakfast,0,13,620.5,27.3,63.3,31.2,1.19,Vegan;Vegetarian;Dairy-Free;Halal
100,Fresh Cheddar Cheese & Boiled Egg Power Snack Style 100,Snack,3,9,262.6,18.0,3.3,19.7,1.17,Vegetarian;Keto;Gluten-Free;High-Protein;Halal
101,Golden Garlic Butter Shrimp with Zucchini Noodles & Tomatoes Style 101,Dinner,2,18,478.2,64.5,14.5,19.5,7.71,Keto;Gluten-Free;High-Protein;Low-Carb;Halal
102,Spicy Strawberries & Dark Chocolate Walnut Cup Style 102,Snack,3,0,347.7,6.0,12.1,33.1,2.27,Vegan;Vegetarian;Gluten-Free;Halal
103,Fiesta Banana Almond Protein Smoothie Style 103,Snack,3,12,375.9,18.8,41.6,17.3,1.85,Vegetarian;Gluten-Free;Halal
104,Smoky Strawberries & Dark Chocolate Walnut Cup Style 104,Snack,3,4,265.0,5.4,21.6,19.9,2.52,Vegan;Vegetarian;Gluten-Free;Halal
105,Rustic Tuna Salad Whole Wheat Wrap Style 105,Lunch,1,15,432.6,42.8,48.5,7.5,2.94,High-Protein;Halal
106,Herb-Crusted Tuna Salad Whole Wheat Wrap Style 106,Lunch,1,19,500.8,50.1,56.9,8.2,3.09,High-Protein;Halal
107,Spicy Avocado & Egg Whole Wheat Toast Style 107,Breakfast,0,18,637.8,23.9,42.7,43.7,2.58,Vegetarian;Halal
108,Fresh Grilled Chicken & Quinoa Harvest Bowl Style 108,Lunch,1,35,575.9,69.4,30.5,19.3,5.0,Gluten-Free;High-Protein;Halal
109,Fiesta High-Protein Tofu Breakfast Scramble Style 109,Breakfast,0,10,333.1,18.8,13.9,24.9,3.11,Vegan;Vegetarian;Gluten-Free;Dairy-Free;High-Protein;Halal
110,Garden-Fresh Garlic Butter Shrimp with Zucchini Noodles & Tomatoes Style 110,Dinner,2,15,625.0,74.5,16.9,30.5,8.42,Keto;Gluten-Free;High-Protein;Low-Carb;Halal
111,Garden-Fresh Pan-Seared Salmon with Garlic Butter Broccoli & Sweet Potato Style 111,Dinner,2,27,889.3,53.9,51.8,51.0,8.54,Gluten-Free;High-Protein;Halal
112,Roasted Turkey Avocado BLT Wrap Style 112,Lunch,1,22,884.0,57.5,60.5,49.5,5.24,High-Protein;Halal
113,Hearty Strawberries & Dark Chocolate Walnut Cup Style 113,Snack,3,14,255.4,5.2,19.3,19.8,2.07,Vegan;Vegetarian;Gluten-Free;Halal
114,Fiesta Avocado & Egg Whole Wheat Toast Style 114,Breakfast,0,14,558.3,24.9,44.0,33.8,2.63,Vegetarian;Halal
115,Roasted Hearty Lentil & Vegetable Stew Style 115,Dinner,2,36,512.9,19.4,76.2,16.2,2.34,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
116,Fiesta Cheddar Cheese & Boiled Egg Power Snack Style 116,Snack,3,10,283.5,19.3,3.6,21.4,1.25,Vegetarian;Keto;Gluten-Free;High-Protein;Halal
117,Zesty Avocado & Egg Whole Wheat Toast Style 117,Breakfast,0,10,399.8,21.0,30.4,21.7,1.4,Vegetarian;Halal
118,Zesty Cheddar Cheese & Boiled Egg Power Snack Style 118,Snack,3,5,260.4,17.9,2.8,19.7,1.09,Vegetarian;Keto;Gluten-Free;High-Protein;Halal
119,Savory Peanut Butter Banana Oatmeal Style 119,Breakfast,0,17,698.3,27.3,86.5,30.7,1.48,Vegan;Vegetarian;Dairy-Free;Halal
120,Savory Creamy Tomato & Mozzarella Penne Style 120,Lunch,1,25,477.5,21.3,50.0,22.3,2.29,Vegetarian;Halal
121,Savory Avocado & Egg Whole Wheat Toast Style 121,Breakfast,0,9,644.3,24.6,43.9,43.8,2.65,Vegetarian;Halal
122,Smoky Peanut Butter Banana Oatmeal Style 122,Breakfast,0,14,729.9,37.0,88.7,28.8,2.2,Vegan;Vegetarian;Dairy-Free;Halal
123,Garden-Fresh Lean Ground Beef Stir-Fry with Brown Rice & Peppers Style 123,Dinner,2,25,698.3,60.6,35.0,37.0,5.25,Gluten-Free;Dairy-Free;High-Protein;Halal
124,Garden-Fresh Banana Almond Protein Smoothie Style 124,Snack,3,11,451.1,19.5,51.1,21.8,2.01,Vegetarian;Gluten-Free;Halal
125,Zesty Lean Ground Beef Stir-Fry with Brown Rice & Peppers Style 125,Dinner,2,27,626.7,54.0,33.4,32.6,4.87,Gluten-Free;Dairy-Free;High-Protein;Halal
126,Smoky Creamy Garlic Parmesan Chicken Fettuccine Style 126,Dinner,2,40,872.6,76.7,28.9,48.7,4.25,High-Protein;Halal
127,Herb-Crusted Berry Chia Yogurt Parfait Style 127,Breakfast,0,3,544.7,25.4,20.7,42.6,3.33,Vegetarian;Gluten-Free;Halal
128,Roasted Greek Yogurt Berry Nut Bowl Style 128,Breakfast,0,10,412.6,22.2,45.0,18.8,4.03,Vegetarian;Gluten-Free;High-Protein;Halal
129,Hearty Lean Ground Beef Stir-Fry with Brown Rice & Peppers Style 129,Dinner,2,26,670.0,57.6,34.7,35.3,4.89,Gluten-Free;Dairy-Free;High-Protein;Halal
130,Hearty Pan-Seared Salmon with Garlic Butter Broccoli & Sweet Potato Style 130,Dinner,2,39,805.1,41.6,77.0,37.2,6.47,Gluten-Free;High-Protein;Halal
131,Fiesta Grilled Chicken & Quinoa Harvest Bowl Style 131,Lunch,1,25,709.6,58.0,71.7,23.2,5.29,Gluten-Free;High-Protein;Halal
132,Hearty Creamy Tomato & Mozzarella Penne Style 132,Lunch,1,22,523.2,25.1,48.6,26.5,2.4,Vegetarian;Halal
133,Crispy Avocado & Egg Whole Wheat Toast Style 133,Breakfast,0,12,617.5,25.5,44.7,40.3,2.72,Vegetarian;Halal
134,Golden Mediterranean Chickpea & Avocado Salad Style 134,Lunch,1,8,630.4,14.8,50.4,45.3,3.79,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
135,Spicy Greek Yogurt Berry Nut Bowl Style 135,Breakfast,0,3,489.2,28.6,46.6,24.1,4.38,Vegetarian;Gluten-Free;High-Protein;Halal
136,Spicy Creamy Garlic Parmesan Chicken Fettuccine Style 136,Dinner,2,25,767.1,71.6,39.3,34.7,3.94,High-Protein;Halal
137,Fiesta Hearty Lentil & Vegetable Stew Style 137,Dinner,2,42,464.1,15.7,67.8,16.0,2.12,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
138,Smoky Berry Chia Yogurt Parfait Style 138,Breakfast,0,10,469.8,27.6,31.6,28.6,3.76,Vegetarian;Gluten-Free;Halal
139,Zesty Garlic Butter Shrimp with Zucchini Noodles & Tomatoes Style 139,Dinner,2,25,481.2,55.2,16.0,23.4,6.81,Keto;Gluten-Free;High-Protein;Low-Carb;Halal
140,Roasted Greek Yogurt Berry Nut Bowl Style 140,Breakfast,0,11,470.5,29.7,43.7,22.6,4.63,Vegetarian;Gluten-Free;High-Protein;Halal
141,Herb-Crusted Turkey Avocado BLT Wrap Style 141,Lunch,1,25,857.6,53.4,60.3,48.5,4.99,High-Protein;Halal
142,Garden-Fresh Apple Slices with Natural Peanut Butter Style 142,Snack,3,9,328.8,10.5,32.8,20.4,1.07,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
143,Roasted Tuna Salad Whole Wheat Wrap Style 143,Lunch,1,8,444.1,45.5,47.7,7.8,2.9,High-Protein;Halal
144,Garden-Fresh Hearty Lentil & Vegetable Stew Style 144,Dinner,2,32,482.2,16.9,71.2,16.1,2.27,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
145,Spicy Grilled Chicken & Quinoa Harvest Bowl Style 145,Lunch,1,24,504.9,52.4,36.2,16.3,3.41,Gluten-Free;High-Protein;Halal
146,Roasted Grilled Chicken & Quinoa Harvest Bowl Style 146,Lunch,1,20,679.6,74.5,27.5,29.5,4.88,Gluten-Free;High-Protein;Halal
147,Hearty Black Bean Burrito Bowl with Brown Rice Style 147,Lunch,1,25,350.9,15.5,63.3,4.9,2.21,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
148,Fresh Hearty Lentil & Vegetable Stew Style 148,Dinner,2,37,481.6,17.6,70.4,16.1,2.29,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
149,Golden Hearty Lentil & Vegetable Stew Style 149,Dinner,2,39,512.1,18.2,66.3,21.1,2.27,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
150,Herb-Crusted Berry Chia Yogurt Parfait Style 150,Breakfast,0,4,367.0,24.2,26.0,20.6,3.52,Vegetarian;Gluten-Free;Halal
151,Rustic Creamy Garlic Parmesan Chicken Fettuccine Style 151,Dinner,2,30,893.9,75.4,33.2,50.0,4.32,High-Protein;Halal
152,Rustic Savory Tofu & Mushroom Teriyaki Bowl Style 152,Dinner,2,30,424.7,23.0,48.5,18.8,4.04,Vegan;Vegetarian;Dairy-Free;Halal
153,Garden-Fresh Cheddar Cheese & Boiled Egg Power Snack Style 153,Snack,3,7,284.2,19.3,3.8,21.4,1.27,Vegetarian;Keto;Gluten-Free;High-Protein;Halal
154,Garden-Fresh Apple Slices with Natural Peanut Butter Style 154,Snack,3,13,299.4,9.3,31.8,17.9,1.03,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
155,Herb-Crusted Greek Yogurt Berry Nut Bowl Style 155,Breakfast,0,10,445.1,28.0,36.0,23.7,3.89,Vegetarian;Gluten-Free;High-Protein;Halal
156,Fresh Greek Yogurt Berry Nut Bowl Style 156,Breakfast,0,14,530.9,31.9,35.5,32.2,4.42,Vegetarian;Gluten-Free;High-Protein;Halal
157,Fiesta Strawberries & Dark Chocolate Walnut Cup Style 157,Snack,3,0,299.3,6.2,22.7,23.2,2.7,Vegan;Vegetarian;Gluten-Free;Halal
158,Golden Strawberries & Dark Chocolate Walnut Cup Style 158,Snack,3,-1,289.7,6.0,20.4,23.1,2.25,Vegan;Vegetarian;Gluten-Free;Halal
159,Golden Black Bean Burrito Bowl with Brown Rice Style 159,Lunch,1,29,424.5,15.9,65.0,12.1,2.49,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
160,Herb-Crusted Black Bean Burrito Bowl with Brown Rice Style 160,Lunch,1,30,510.4,21.6,80.1,12.2,2.48,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
161,Golden Garlic Butter Shrimp with Zucchini Noodles & Tomatoes Style 161,Dinner,2,29,494.6,52.9,15.2,26.3,6.46,Keto;Gluten-Free;High-Protein;Low-Carb;Halal
162,Smoky Apple Slices with Natural Peanut Butter Style 162,Snack,3,7,270.0,8.0,30.8,15.4,0.99,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
163,Spicy Savory Tofu & Mushroom Teriyaki Bowl Style 163,Dinner,2,35,492.3,21.4,65.2,18.3,2.97,Vegan;Vegetarian;Dairy-Free;Halal
164,Fiesta Peanut Butter Banana Oatmeal Style 164,Breakfast,0,7,589.9,25.7,60.9,29.5,1.06,Vegan;Vegetarian;Dairy-Free;Halal
165,Garden-Fresh Banana Almond Protein Smoothie Style 165,Snack,3,3,435.6,18.9,51.3,20.0,1.97,Vegetarian;Gluten-Free;Halal
166,Roasted Turkey Avocado BLT Wrap Style 166,Lunch,1,21,865.4,54.7,60.2,48.8,5.02,High-Protein;Halal
167,Zesty Berry Chia Yogurt Parfait Style 167,Breakfast,0,2,452.8,22.9,35.1,27.4,3.31,Vegetarian;Gluten-Free;Halal
