recipe_id,recipe_name,category,category_id,preparation_time_min,calories,protein_g,carbohydrates_g,fat_g,estimated_cost_usd,dietary_tags
14,Lean Ground Beef Stir-Fry with Brown Rice & Peppers,Dinner,2,25,613.1,52.6,33.1,31.8,4.62,Gluten-Free;Dairy-Free;High-Protein;Halal
15,Creamy Garlic Parmesan Chicken Fettuccine,Dinner,2,30,924.0,77.1,35.8,51.3,4.39,High-Protein;Halal
16,Hearty Lentil & Vegetable Stew,Dinner,2,35,457.8,16.3,65.7,16.1,2.17,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
17,Garlic Butter Shrimp with Zucchini Noodles & Tomatoes,Dinner,2,20,516.5,61.5,15.1,24.8,7.18,Keto;Gluten-Free;High-Protein;Low-Carb;Halal
18,Savory Tofu & Mushroom Teriyaki Bowl,Dinner,2,25,454.9,25.5,49.0,20.6,4.03,Vegan;Vegetarian;Dairy-Free;Halal
19,Apple Slices with Natural Peanut Butter,Snack,3,3,299.4,9.3,31.8,17.9,1.03,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
20,Banana Almond Protein Smoothie,Snack,3,5,440.4,19.4,51.4,20.3,2.01,Vegetarian;Gluten-Free;Halal
21,Cheddar Cheese & Boiled Egg Power Snack,Snack,3,8,241.8,16.7,3.1,18.1,1.08,Vegetarian;Keto;Gluten-Free;High-Protein;Halal
22,Strawberries & Dark Chocolate Walnut Cup,Snack,3,4,258.6,5.3,20.0,19.9,2.22,Vegan;Vegetarian;Gluten-Free;Halal
23,Spicy Greek Yogurt Berry Nut Bowl Style 23,Breakfast,0,6,1009.3,70.8,47.0,62.1,6.16,Vegetarian;Gluten-Free;High-Protein;Halal
24,Golden Pan-Seared Salmon with Garlic Butter Broccoli & Sweet Potato Style 24,Dinner,2,35,718.5,43.5,44.4,40.5,7.11,Gluten-Free;High-Protein;Halal
25,Savory Classic Spinach & Mushroom Omelette Style 25,Breakfast,0,21,555.5,34.8,5.5,44.0,2.87,Vegetarian;Keto;Gluten-Free;High-Protein;Halal
26,Crispy Creamy Tomato & Mozzarella Penne Style 26,Lunch,1,21,442.8,23.0,46.5,19.8,2.31,Vegetarian;Halal
27,Crispy Turkey Avocado BLT Wrap Style 27,Lunch,1,22,765.4,42.3,102.8,24.4,3.88,High-Protein;Halal
28,Roasted Black Bean Burrito Bowl with Brown Rice Style 28,Lunch,1,24,384.3,15.3,56.5,11.9,2.65,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
29,Hearty Black Bean Burrito Bowl with Brown Rice Style 29,Lunch,1,20,413.5,15.8,62.7,11.9,2.37,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
30,Savory Strawberries & Dark Chocolate Walnut Cup Style 30,Snack,3,5,466.6,7.6,25.1,41.6,1.97,Vegan;Vegetarian;Gluten-Free;Halal
31,Zesty High-Protein Tofu Breakfast Scramble Style 31,Breakfast,0,16,289.3,14.4,12.4,22.2,2.66,Vegan;Vegetarian;Gluten-Free;Dairy-Free;High-Protein;Halal
32,Spicy Pan-Seared Salmon with Garlic Butter Broccoli & Sweet Potato Style 32,Dinner,2,32,789.5,45.8,47.8,45.8,7.46,Gluten-Free;High-Protein;Halal
33,Smoky Berry Chia Yogurt Parfait Style 33,Breakfast,0,14,496.7,28.1,34.1,30.6,3.8,Vegetarian;Gluten-Free;Halal
34,Roasted Strawberries & Dark Chocolate Walnut Cup Style 34,Snack,3,12,266.6,5.5,22.0,19.9,2.6,Vegan;Vegetarian;Gluten-Free;Halal
35,Spicy Savory Tofu & Mushroom Teriyaki Bowl Style 35,Dinner,2,27,492.2,28.3,51.7,22.5,4.27,Vegan;Vegetarian;Dairy-Free;Halal
36,Spicy Tuna Salad Whole Wheat Wrap Style 36,Lunch,1,11,244.2,34.7,17.9,3.5,2.21,High-Protein;Halal
37,Crispy Avocado & Egg Whole Wheat Toast Style 37,Breakfast,0,5,639.6,24.0,43.1,43.7,2.64,Vegetarian;Halal
38,Crispy Apple Slices with Natural Peanut Butter Style 38,Snack,3,10,358.2,11.8,33.8,22.9,1.11,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
39,Roasted Lean Ground Beef Stir-Fry with Brown Rice & Peppers Style 39,Dinner,2,25,644.4,57.1,30.2,35.0,4.7,Gluten-Free;Dairy-Free;High-Protein;Halal
40,Herb-Crusted Creamy Garlic Parmesan Chicken Fettuccine Style 40,Dinner,2,39,996.4,91.3,36.1,52.4,5.06,High-Protein;Halal
41,Zesty Berry Chia Yogurt Parfait Style 41,Breakfast,0,2,503.8,26.6,24.3,36.6,3.27,Vegetarian;Gluten-Free;Halal
42,Zesty Hearty Lentil & Vegetable Stew Style 42,Dinner,2,30,431.4,19.3,67.4,11.1,2.54,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
43,Herb-Crusted Banana Almond Protein Smoothie Style 43,Snack,3,3,653.0,28.7,50.5,40.2,2.24,Vegetarian;Gluten-Free;Halal
44,Rustic Berry Chia Yogurt Parfait Style 44,Breakfast,0,6,441.9,21.2,31.9,28.3,2.98,Vegetarian;Gluten-Free;Halal
45,Fresh Avocado & Egg Whole Wheat Toast Style 45,Breakfast,0,8,640.5,24.0,43.3,43.7,2.67,Vegetarian;Halal
46,Smoky Apple Slices with Natural Peanut Butter Style 46,Snack,3,0,299.4,9.3,31.8,17.9,1.03,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
47,Fiesta Garlic Butter Shrimp with Zucchini Noodles & Tomatoes Style 47,Dinner,2,19,537.9,58.1,14.9,28.9,7.1,Keto;Gluten-Free;High-Protein;Low-Carb;Halal
48,Herb-Crusted Lean Ground Beef Stir-Fry with Brown Rice & Peppers Style 48,Dinner,2,28,686.2,58.3,38.0,35.3,5.01,Gluten-Free;Dairy-Free;High-Protein;Halal
49,Hearty Creamy Tomato & Mozzarella Penne Style 49,Lunch,1,15,512.4,24.8,46.3,26.3,2.29,Vegetarian;Halal
50,Golden Hearty Lentil & Vegetable Stew Style 50,Dinner,2,37,441.7,16.2,62.2,16.1,2.39,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
51,Spicy Lean Ground Beef Stir-Fry with Brown Rice & Peppers Style 51,Dinner,2,29,601.5,53.7,27.2,32.7,4.88,Gluten-Free;Dairy-Free;High-Protein;Halal
52,Fresh Strawberries & Dark Chocolate Walnut Cup Style 52,Snack,3,9,257.0,5.3,19.7,19.8,2.15,Vegan;Vegetarian;Gluten-Free;Halal
53,Garden-Fresh Turkey Avocado BLT Wrap Style 53,Lunch,1,15,833.0,49.4,60.5,47.4,4.79,High-Protein;Halal
54,Hearty Grilled Chicken & Quinoa Harvest Bowl Style 54,Lunch,1,29,613.9,68.8,29.7,23.9,4.66,Gluten-Free;High-Protein;Halal
55,Golden Mediterranean Chickpea & Avocado Salad Style 55,Lunch,1,11,602.2,13.2,45.4,44.9,3.56,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
56,Smoky Cheddar Cheese & Boiled Egg Power Snack Style 56,Snack,3,17,261.9,18.0,3.1,19.7,1.14,Vegetarian;Keto;Gluten-Free;High-Protein;Halal
57,Herb-Crusted Creamy Tomato & Mozzarella Penne Style 57,Lunch,1,16,524.3,25.3,48.7,26.4,2.36,Vegetarian;Halal
58,Herb-Crusted High-Protein Tofu Breakfast Scramble Style 58,Breakfast,0,17,337.9,19.8,12.8,25.5,3.09,Vegan;Vegetarian;Gluten-Free;Dairy-Free;High-Protein;Halal
59,Crispy Garlic Butter Shrimp with Zucchini Noodles & Tomatoes Style 59,Dinner,2,18,520.9,60.7,17.2,24.8,7.16,Keto;Gluten-Free;High-Protein;Low-Carb;Halal
60,Fiesta Grilled Chicken & Quinoa Harvest Bowl Style 60,Lunch,1,35,498.4,54.8,29.7,17.5,3.87,Gluten-Free;High-Protein;Halal
61,Zesty Black Bean Burrito Bowl with Brown Rice Style 61,Lunch,1,21,402.9,14.9,60.9,11.9,2.35,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
62,Savory Lean Ground Beef Stir-Fry with Brown Rice & Peppers Style 62,Dinner,2,34,630.0,53.4,34.2,32.7,4.79,Gluten-Free;Dairy-Free;High-Protein;Halal
63,Spicy Peanut Butter Banana Oatmeal Style 63,Breakfast,0,15,510.5,18.6,59.3,25.1,1.83,Vegan;Vegetarian;Dairy-Free;Halal
64,Rustic Banana Almond Protein Smoothie Style 64,Snack,3,1,665.5,14.0,50.7,48.5,2.15,Vegetarian;Gluten-Free;Halal
65,Spicy Berry Chia Yogurt Parfait Style 65,Breakfast,0,2,464.7,24.1,38.2,26.9,3.52,Vegetarian;Gluten-Free;Halal
66,Golden Hearty Lentil & Vegetable Stew Style 66,Dinner,2,31,425.8,15.1,58.9,16.0,1.99,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
67,Savory Creamy Garlic Parmesan Chicken Fettuccine Style 67,Dinner,2,39,970.2,72.3,33.2,60.1,4.33,High-Protein;Halal
68,Zesty Lean Ground Beef Stir-Fry with Brown Rice & Peppers Style 68,Dinner,2,29,540.3,45.2,33.2,26.7,4.19,Gluten-Free;Dairy-Free;High-Protein;Halal
69,Garden-Fresh Creamy Garlic Parmesan Chicken Fettuccine Style 69,Dinner,2,32,782.9,64.1,30.3,44.1,3.77,High-Protein;Halal
70,Spicy Peanut Butter Banana Oatmeal Style 70,Breakfast,0,18,750.6,29.5,96.0,31.4,1.49,Vegan;Vegetarian;Dairy-Free;Halal
71,Spicy Hearty Lentil & Vegetable Stew Style 71,Dinner,2,43,414.6,18.6,73.4,7.2,2.27,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
72,Smoky Creamy Tomato & Mozzarella Penne Style 72,Lunch,1,19,467.0,21.7,45.3,23.3,2.4,Vegetarian;Halal
73,Roasted Creamy Garlic Parmesan Chicken Fettuccine Style 73,Dinner,2,32,985.4,77.2,34.7,58.8,4.53,High-Protein;Halal
74,Crispy Apple Slices with Natural Peanut Butter Style 74,Snack,3,13,328.8,10.5,32.8,20.4,1.07,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
75,Crispy Pan-Seared Salmon with Garlic Butter Broccoli & Sweet Potato Style 75,Dinner,2,35,889.8,58.6,58.8,45.6,9.14,Gluten-Free;High-Protein;Halal
76,Spicy Peanut Butter Banana Oatmeal Style 76,Breakfast,0,7,606.7,23.4,78.4,25.3,1.4,Vegan;Vegetarian;Dairy-Free;Halal
77,Smoky Hearty Lentil & Vegetable Stew Style 77,Dinner,2,40,554.6,19.6,75.7,21.2,2.52,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
78,Garden-Fresh Cheddar Cheese & Boiled Egg Power Snack Style 78,Snack,3,10,241.8,16.7,3.1,18.1,1.08,Vegetarian;Keto;Gluten-Free;High-Protein;Halal
79,Fiesta Cheddar Cheese & Boiled Egg Power Snack Style 79,Snack,3,6,282.8,19.3,3.4,21.4,1.22,Vegetarian;Keto;Gluten-Free;High-Protein;Halal
80,Garden-Fresh Cheddar Cheese & Boiled Egg Power Snack Style 80,Snack,3,4,242.6,16.8,3.3,18.1,1.1,Vegetarian;Keto;Gluten-Free;High-Protein;Halal
81,Smoky Creamy Tomato & Mozzarella Penne Style 81,Lunch,1,27,1364.7,19.2,27.9,133.5,3.27,Vegetarian;Halal
82,Fiesta Banana Almond Protein Smoothie Style 82,Snack,3,5,527.6,18.7,74.9,21.0,3.15,Vegetarian;Gluten-Free;Halal
83,Spicy Avocado & Egg Whole Wheat Toast Style 83,Breakfast,0,14,640.5,24.0,43.3,43.7,2.67,Vegetarian;Halal
84,Crispy Grilled Chicken & Quinoa Harvest Bowl Style 84,Lunch,1,28,601.5,70.7,23.6,24.1,4.59,Gluten-Free;High-Protein;Halal
85,Fresh Classic Spinach & Mushroom Omelette Style 85,Breakfast,0,19,601.2,38.0,6.5,47.4,3.27,Vegetarian;Keto;Gluten-Free;High-Protein;Halal
86,Fresh Mediterranean Chickpea & Avocado Salad Style 86,Lunch,1,11,617.7,16.7,55.4,40.9,3.72,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
87,Savory Cheddar Cheese & Boiled Egg Power Snack Style 87,Snack,3,14,261.1,17.9,3.0,19.7,1.12,Vegetarian;Keto;Gluten-Free;High-Protein;Halal
88,Savory High-Protein Tofu Breakfast Scramble Style 88,Breakfast,0,21,342.1,19.8,13.3,25.7,3.03,Vegan;Vegetarian;Gluten-Free;Dairy-Free;High-Protein;Halal
89,Roasted Garlic Butter Shrimp with Zucchini Noodles & Tomatoes Style 89,Dinner,2,25,581.0,73.3,15.9,26.5,8.36,Keto;Gluten-Free;High-Protein;Low-Carb;Halal
90,Spicy Peanut Butter Banana Oatmeal Style 90,Breakfast,0,16,729.2,28.4,94.3,30.2,1.39,Vegan;Vegetarian;Dairy-Free;Halal
91,Smoky Avocado & Egg Whole Wheat Toast Style 91,Breakfast,0,16,600.7,25.7,47.5,36.8,2.68,Vegetarian;Halal
92,Fiesta Peanut Butter Banana Oatmeal Style 92,Breakfast,0,14,462.0,16.3,53.7,23.2,1.54,Vegan;Vegetarian;Dairy-Free;Halal
93,Crispy Cheddar Cheese & Boiled Egg Power Snack Style 93,Snack,3,6,199.3,14.1,2.4,14.7,0.88,Vegetarian;Keto;Gluten-Free;High-Protein;Halal
94,Hearty Peanut Butter Banana Oatmeal Style 94,Breakfast,0,18,709.8,27.5,91.0,29.9,1.37,Vegan;Vegetarian;Dairy-Free;Halal
95,Garden-Fresh Apple Slices with Natural Peanut Butter Style 95,Snack,3,13,328.8,10.5,32.8,20.4,1.07,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
96,Crispy Banana Almond Protein Smoothie Style 96,Snack,3,11,376.5,12.5,50.8,16.1,1.49,Vegetarian;Gluten-Free;Halal
97,Fiesta Savory Tofu & Mushroom Teriyaki Bowl Style 97,Dinner,2,20,430.6,23.7,45.9,19.8,3.67,Vegan;Vegetarian;Dairy-Free;Halal
98,Smoky Greek Yogurt Berry Nut Bowl Style 98,Breakfast,0,6,431.6,23.7,46.7,19.6,4.32,Vegetarian;Gluten-Free;High-Protein;Halal
99,Golden Mediterranean Chickpea & Avocado Salad Style 99,Lunch,1,12,661.6,16.6,55.7,45.8,3.96,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
100,Fiesta Peanut Butter Banana Oatmeal Style 100,Breakfast,0,9,600.1,26.1,63.4,29.4,1.02,Vegan;Vegetarian;Dairy-Free;Halal
101,Roasted Lean Ground Beef Stir-Fry with Brown Rice & Peppers Style 101,Dinner,2,29,673.1,41.4,28.2,45.6,4.05,Gluten-Free;Dairy-Free;High-Protein;Halal
102,Fiesta Creamy Garlic Parmesan Chicken Fettuccine Style 102,Dinner,2,27,958.4,88.3,29.7,52.5,4.87,High-Protein;Halal
103,Golden Avocado & Egg Whole Wheat Toast Style 103,Breakfast,0,14,655.2,23.9,47.3,43.8,3.12,Vegetarian;Halal
104,Roasted Creamy Garlic Parmesan Chicken Fettuccine Style 104,Dinner,2,31,947.4,81.1,30.0,54.7,4.6,High-Protein;Halal
105,Spicy Lean Ground Beef Stir-Fry with Brown Rice & Peppers Style 105,Dinner,2,24,682.5,62.0,29.4,37.6,5.24,Gluten-Free;Dairy-Free;High-Protein;Halal
106,Spicy Strawberries & Dark Chocolate Walnut Cup Style 106,Snack,3,3,313.3,8.4,13.0,28.1,1.98,Vegan;Vegetarian;Gluten-Free;Halal
107,Zesty Savory Tofu & Mushroom Teriyaki Bowl Style 107,Dinner,2,21,454.6,25.6,47.7,21.0,3.91,Vegan;Vegetarian;Dairy-Free;Halal
108,Fresh Black Bean Burrito Bowl with Brown Rice Style 108,Lunch,1,26,374.4,14.4,54.8,11.7,2.17,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
109,Smoky Peanut Butter Banana Oatmeal Style 109,Breakfast,0,5,625.1,23.9,80.3,26.5,1.3,Vegan;Vegetarian;Dairy-Free;Halal
110,Fiesta Banana Almond Protein Smoothie Style 110,Snack,3,4,308.3,16.0,22.9,18.5,1.49,Vegetarian;Gluten-Free;Halal
111,Fiesta Apple Slices with Natural Peanut Butter Style 111,Snack,3,-2,270.0,8.0,30.8,15.4,0.99,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
112,Garden-Fresh Avocado & Egg Whole Wheat Toast Style 112,Breakfast,0,6,646.8,23.9,44.9,43.7,2.54,Vegetarian;Halal
113,Herb-Crusted High-Protein Tofu Breakfast Scramble Style 113,Breakfast,0,23,327.1,18.5,11.6,25.2,2.76,Vegan;Vegetarian;Gluten-Free;Dairy-Free;High-Protein;Halal
114,Hearty Tuna Salad Whole Wheat Wrap Style 114,Lunch,1,14,456.2,47.4,48.2,8.1,3.07,High-Protein;Halal
115,Hearty Greek Yogurt Berry Nut Bowl Style 115,Breakfast,0,3,891.7,30.8,59.5,66.3,5.82,Vegetarian;Gluten-Free;High-Protein;Halal
116,Spicy Classic Spinach & Mushroom Omelette Style 116,Breakfast,0,21,465.4,29.4,4.9,36.8,2.47,Vegetarian;Keto;Gluten-Free;High-Protein;Halal
117,Crispy Avocado & Egg Whole Wheat Toast Style 117,Breakfast,0,17,640.5,24.0,43.3,43.7,2.67,Vegetarian;Halal
118,Crispy Cheddar Cheese & Boiled Egg Power Snack Style 118,Snack,3,5,420.0,17.4,50.6,18.7,2.28,Vegetarian;Keto;Gluten-Free;High-Protein;Halal
119,Savory Lean Ground Beef Stir-Fry with Brown Rice & Peppers Style 119,Dinner,2,23,570.3,46.2,38.0,27.1,4.09,Gluten-Free;Dairy-Free;High-Protein;Halal
120,Roasted Garlic Butter Shrimp with Zucchini Noodles & Tomatoes Style 120,Dinner,2,20,479.1,54.6,16.6,23.4,6.97,Keto;Gluten-Free;High-Protein;Low-Carb;Halal
121,Herb-Crusted Banana Almond Protein Smoothie Style 121,Snack,3,14,463.9,19.4,52.7,22.5,2.02,Vegetarian;Gluten-Free;Halal
122,Fresh Strawberries & Dark Chocolate Walnut Cup Style 122,Snack,3,9,292.9,6.1,21.1,23.1,2.4,Vegan;Vegetarian;Gluten-Free;Halal
123,Spicy High-Protein Tofu Breakfast Scramble Style 123,Breakfast,0,19,278.8,13.7,10.3,22.1,2.4,Vegan;Vegetarian;Gluten-Free;Dairy-Free;High-Protein;Halal
124,Spicy Creamy Garlic Parmesan Chicken Fettuccine Style 124,Dinner,2,37,826.2,66.4,36.0,45.4,3.85,High-Protein;Halal
125,Fresh Creamy Garlic Parmesan Chicken Fettuccine Style 125,Dinner,2,29,1090.0,66.8,39.3,73.4,4.26,High-Protein;Halal
126,Spicy Greek Yogurt Berry Nut Bowl Style 126,Breakfast,0,5,617.7,25.4,86.9,23.8,3.43,Vegetarian;Gluten-Free;High-Protein;Halal
127,Golden Turkey Avocado BLT Wrap Style 127,Lunch,1,22,651.2,55.8,47.4,27.8,4.01,High-Protein;Halal
128,Rustic Black Bean Burrito Bowl with Brown Rice Style 128,Lunch,1,27,487.3,18.7,78.4,11.9,2.15,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
129,Fresh High-Protein Tofu Breakfast Scramble Style 129,Breakfast,0,23,323.5,18.9,10.9,25.1,2.97,Vegan;Vegetarian;Gluten-Free;Dairy-Free;High-Protein;Halal
130,Golden Garlic Butter Shrimp with Zucchini Noodles & Tomatoes Style 130,Dinner,2,19,482.3,47.7,15.1,27.3,5.96,Keto;Gluten-Free;High-Protein;Low-Carb;Halal
131,Rustic Avocado & Egg Whole Wheat Toast Style 131,Breakfast,0,9,503.0,11.9,42.7,34.6,2.12,Vegetarian;Halal
132,Crispy Banana Almond Protein Smoothie Style 132,Snack,3,1,431.8,19.4,50.4,19.8,2.0,Vegetarian;Gluten-Free;Halal
133,Golden Lean Ground Beef Stir-Fry with Brown Rice & Peppers Style 133,Dinner,2,29,637.5,56.2,30.3,34.2,4.83,Gluten-Free;Dairy-Free;High-Protein;Halal
134,Hearty Hearty Lentil & Vegetable Stew Style 134,Dinner,2,36,475.7,16.1,70.4,16.1,2.23,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
135,Herb-Crusted Banana Almond Protein Smoothie Style 135,Snack,3,3,416.0,18.1,49.5,19.0,1.89,Vegetarian;Gluten-Free;Halal
136,Savory Black Bean Burrito Bowl with Brown Rice Style 136,Lunch,1,15,414.5,17.4,61.4,12.0,2.65,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
137,Zesty Lean Ground Beef Stir-Fry with Brown Rice & Peppers Style 137,Dinner,2,24,566.1,48.8,28.7,29.9,4.25,Gluten-Free;Dairy-Free;High-Protein;Halal
138,Zesty High-Protein Tofu Breakfast Scramble Style 138,Breakfast,0,10,261.2,15.9,13.0,18.2,2.71,Vegan;Vegetarian;Gluten-Free;Dairy-Free;High-Protein;Halal
139,Zesty Avocado & Egg Whole Wheat Toast Style 139,Breakfast,0,14,497.5,11.6,42.4,34.2,2.06,Vegetarian;Halal
140,Zesty Peanut Butter Banana Oatmeal Style 140,Breakfast,0,5,594.5,22.8,77.4,24.7,1.34,Vegan;Vegetarian;Dairy-Free;Halal
141,Roasted Cheddar Cheese & Boiled Egg Power Snack Style 141,Snack,3,16,123.9,11.2,4.0,7.1,0.93,Vegetarian;Keto;Gluten-Free;High-Protein;Halal
142,Fiesta Berry Chia Yogurt Parfait Style 142,Breakfast,0,0,479.2,25.6,38.7,27.6,3.64,Vegetarian;Gluten-Free;Halal
143,Spicy Pan-Seared Salmon with Garlic Butter Broccoli & Sweet Potato Style 143,Dinner,2,35,672.2,37.9,46.5,37.0,5.8,Gluten-Free;High-Protein;Halal
144,Zesty High-Protein Tofu Breakfast Scramble Style 144,Breakfast,0,25,305.7,15.8,12.6,23.4,2.67,Vegan;Vegetarian;Gluten-Free;Dairy-Free;High-Protein;Halal
145,Herb-Crusted Cheddar Cheese & Boiled Egg Power Snack Style 145,Snack,3,12,203.1,14.3,3.3,14.8,1.01,Vegetarian;Keto;Gluten-Free;High-Protein;Halal
146,Zesty Grilled Chicken & Quinoa Harvest Bowl Style 146,Lunch,1,21,640.9,70.9,32.6,24.5,4.79,Gluten-Free;High-Protein;Halal
147,Hearty Cheddar Cheese & Boiled Egg Power Snack Style 147,Snack,3,11,259.6,17.9,2.6,19.7,1.07,Vegetarian;Keto;Gluten-Free;High-Protein;Halal
148,Smoky Peanut Butter Banana Oatmeal Style 148,Breakfast,0,20,685.0,26.8,83.7,30.7,1.5,Vegan;Vegetarian;Dairy-Free;Halal
149,Golden Hearty Lentil & Vegetable Stew Style 149,Dinner,2,40,501.5,18.8,74.0,16.1,2.25,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
150,Savory Peanut Butter Banana Oatmeal Style 150,Breakfast,0,19,657.5,25.3,81.5,29.2,1.36,Vegan;Vegetarian;Dairy-Free;Halal
151,Garden-Fresh Greek Yogurt Berry Nut Bowl Style 151,Breakfast,0,2,470.3,28.6,46.0,22.1,4.43,Vegetarian;Gluten-Free;High-Protein;Halal
152,Fiesta Strawberries & Dark Chocolate Walnut Cup Style 152,Snack,3,13,264.6,5.6,21.2,19.7,1.0,Vegan;Vegetarian;Gluten-Free;Halal
153,Herb-Crusted Greek Yogurt Berry Nut Bowl Style 153,Breakfast,0,14,410.2,21.7,41.1,20.6,3.87,Vegetarian;Gluten-Free;High-Protein;Halal
154,Golden Turkey Avocado BLT Wrap Style 154,Lunch,1,10,831.5,49.3,60.2,47.4,4.72,High-Protein;Halal
155,Spicy Berry Chia Yogurt Parfait Style 155,Breakfast,0,15,416.8,25.4,34.4,22.4,3.37,Vegetarian;Gluten-Free;Halal
156,Savory Grilled Chicken & Quinoa Harvest Bowl Style 156,Lunch,1,30,552.5,51.0,26.9,26.8,3.76,Gluten-Free;High-Protein;Halal
157,Golden Strawberries & Dark Chocolate Walnut Cup Style 157,Snack,3,10,390.5,11.6,48.8,20.1,1.6,Vegan;Vegetarian;Gluten-Free;Halal
158,Hearty Garlic Butter Shrimp with Zucchini Noodles & Tomatoes Style 158,Dinner,2,19,434.1,51.4,13.7,20.6,5.93,Keto;Gluten-Free;High-Protein;Low-Carb;Halal
159,Savory Banana Almond Protein Smoothie Style 159,Snack,3,2,444.0,20.0,51.3,20.4,2.06,Vegetarian;Gluten-Free;Halal
160,Golden High-Protein Tofu Breakfast Scramble Style 160,Breakfast,0,15,331.6,18.4,13.8,24.8,2.98,Vegan;Vegetarian;Gluten-Free;Dairy-Free;High-Protein;Halal
161,Crispy High-Protein Tofu Breakfast Scramble Style 161,Breakfast,0,19,312.5,16.4,12.3,24.0,2.74,Vegan;Vegetarian;Gluten-Free;Dairy-Free;High-Protein;Halal
162,Rustic Avocado & Egg Whole Wheat Toast Style 162,Breakfast,0,10,400.0,21.0,30.5,21.7,1.39,Vegetarian;Halal
163,Fresh Strawberries & Dark Chocolate Walnut Cup Style 163,Snack,3,-1,261.8,5.4,20.8,19.9,2.37,Vegan;Vegetarian;Gluten-Free;Halal
164,Zesty Avocado & Egg Whole Wheat Toast Style 164,Breakfast,0,5,639.6,24.0,43.1,43.7,2.64,Vegetarian;Halal
165,Fiesta Hearty Lentil & Vegetable Stew Style 165,Dinner,2,35,455.7,16.5,65.0,16.1,2.21,Vegan;Vegetarian;Gluten-Free;Dairy-Free;Halal
166,Crispy Creamy Garlic Parmesan Chicken Fettuccine Style 166,Dinner,2,37,895.7,74.5,31.1,51.5,4.28,High-Protein;Halal
167,Smoky High-Protein Tofu Breakfast Scramble Style 167,Breakfast,0,19,454.9,55.3,8.1,21.5,3.67,Vegan;Vegetarian;Gluten-Free;Dairy-Free;High-Protein;Halal
